Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,134,5,T:System.Windows.Controls.DataGridTextColumn,,,,,myProjectsDataGrid.Columns.Add(projCol0);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,128,5,T:System.Windows.Controls.DataGridTextColumn,,,,,mySolutionDataGrid.Columns.Add(solCol1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,127,5,T:System.Windows.Controls.DataGridTextColumn,,,,,mySolutionDataGrid.Columns.Add(solCol0);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,107,21,T:System.Windows.Controls.DataGridTextColumn,,,,,projCol1 = new()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,106,21,T:System.Windows.Controls.DataGridTextColumn,,,,,projCol0 = new()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,105,21,T:System.Windows.Controls.DataGridTextColumn,,,,,solCol1 = new()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,104,21,T:System.Windows.Controls.DataGridTextColumn,,,,,solCol0 = new()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,67,2,T:System.Windows.DependencyPropertyChangedEventArgs,,,,,"private void SetVersionNumberControl_IsVisibleChanged(object sender, DependencyPropertyChangedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,77,5,T:System.Windows.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,77,5,T:System.Windows.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,77,5,F:System.Windows.Visibility.Visible,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,77,5,T:System.Windows.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,77,5,P:System.Windows.UIElement.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,75,4,P:System.Windows.DependencyPropertyChangedEventArgs.NewValue,,,,,if (WasInvisible && ((bool)e.NewValue))  				{  					Visibility = Visibility.Visible;    					_ = GetShowPathsToVersionContainingFilesAsync();  				}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,69,3,P:System.Windows.DependencyPropertyChangedEventArgs.OldValue,,,,,if (!(bool)e.NewValue && (bool)e.OldValue)  			{  				WasInvisible = true;  			}  			else  			{  				if (WasInvisible && ((bool)e.NewValue))  				{  					Visibility = Visibility.Visible;    					_ = GetShowPathsToVersionContainingFilesAsync();  				}  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,69,3,P:System.Windows.DependencyPropertyChangedEventArgs.NewValue,,,,,if (!(bool)e.NewValue && (bool)e.OldValue)  			{  				WasInvisible = true;  			}  			else  			{  				if (WasInvisible && ((bool)e.NewValue))  				{  					Visibility = Visibility.Visible;    					_ = GetShowPathsToVersionContainingFilesAsync();  				}  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,60,3,T:System.Windows.Visibility,,,,,Visibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,60,3,T:System.Windows.Visibility,,,,,Visibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,60,3,F:System.Windows.Visibility.Hidden,,,,,Visibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,60,3,T:System.Windows.Visibility,,,,,Visibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,60,3,P:System.Windows.UIElement.Visibility,,,,,Visibility = Visibility.Hidden;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,52,3,T:System.Windows.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,52,3,T:System.Windows.Visibility,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,52,3,F:System.Windows.Visibility.Visible,,,,,Visibility = Visibility.Visible;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,52,3,T:System.Windows.Visibility,,,,,Visibility = Visibility.Visible;
